                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.2363,                0.80898,                 1.0562,                 0.8597,                0.76696,                0.85938,                  0.593,                 1.0626,                0.58656,                 0.9895,               0.008119,               0.008119,               0.008119
                     59,                 1.2406,                0.81011,                 1.0595,                0.85185,                0.77284,                0.85905,                 0.5932,                   1.06,                0.58492,                0.98866,               0.008086,               0.008086,               0.008086
                     60,                 1.2291,                0.80273,                 1.0551,                0.84871,                0.77932,                0.85943,                0.59504,                 1.0544,                0.58344,                0.98683,               0.008053,               0.008053,               0.008053
                     61,                 1.2356,                0.80901,                  1.057,                0.84277,                0.78662,                0.86082,                0.59567,                 1.0535,                0.58267,                0.98652,                0.00802,                0.00802,                0.00802
                     62,                 1.2252,                0.80033,                 1.0522,                0.84494,                0.78471,                0.86188,                0.59714,                 1.0488,                0.58147,                0.98509,               0.007987,               0.007987,               0.007987
                     63,                 1.2373,                0.80418,                 1.0599,                0.84253,                0.78705,                0.86253,                0.59736,                 1.0497,                0.58138,                0.98556,               0.007954,               0.007954,               0.007954
                     64,                 1.2282,                0.79922,                 1.0534,                 0.8402,                0.79202,                0.86323,                0.59744,                 1.0523,                0.58063,                0.98615,               0.007921,               0.007921,               0.007921
                     65,                 1.2275,                0.80071,                  1.057,                0.83551,                 0.7969,                0.86413,                0.59769,                 1.0533,                0.58072,                0.98656,               0.007888,               0.007888,               0.007888
                     66,                 1.2208,                0.79457,                 1.0541,                0.83991,                0.79117,                0.86433,                0.59804,                 1.0522,                   0.58,                  0.986,               0.007855,               0.007855,               0.007855
                     67,                 1.2217,                0.79695,                 1.0509,                0.84473,                0.78641,                0.86397,                0.59873,                  1.054,                0.57945,                0.98633,               0.007822,               0.007822,               0.007822
                     68,                 1.2224,                0.79345,                   1.05,                0.84402,                0.78728,                0.86503,                0.59967,                 1.0522,                0.57929,                0.98583,               0.007789,               0.007789,               0.007789
                     69,                 1.2181,                0.79362,                  1.049,                0.84865,                0.78467,                0.86512,                0.59953,                 1.0541,                 0.5786,                0.98634,               0.007756,               0.007756,               0.007756
                     70,                 1.2114,                0.78751,                 1.0487,                0.85198,                0.78384,                0.86518,                0.60027,                 1.0501,                 0.5776,                0.98526,               0.007723,               0.007723,               0.007723
                     71,                   1.21,                0.78513,                 1.0475,                0.85376,                0.78323,                 0.8653,                0.60102,                  1.048,                0.57683,                0.98465,                0.00769,                0.00769,                0.00769
                     72,                 1.2135,                0.78655,                 1.0467,                0.85498,                0.78135,                0.86581,                0.60106,                 1.0495,                0.57692,                0.98485,               0.007657,               0.007657,               0.007657
                     73,                 1.2197,                0.78937,                 1.0499,                0.84932,                0.78443,                 0.8661,                0.60134,                 1.0485,                0.57605,                0.98439,               0.007624,               0.007624,               0.007624
                     74,                 1.2161,                 0.7946,                 1.0522,                0.84961,                0.78536,                0.86601,                0.60134,                 1.0492,                0.57596,                0.98453,               0.007591,               0.007591,               0.007591
                     75,                 1.2192,                0.79047,                 1.0495,                0.85177,                0.78375,                 0.8662,                0.60113,                 1.0497,                0.57573,                0.98457,               0.007558,               0.007558,               0.007558
                     76,                 1.2144,                0.78883,                 1.0479,                0.84166,                0.79211,                0.86682,                0.60144,                 1.0493,                0.57509,                0.98453,               0.007525,               0.007525,               0.007525
                     77,                 1.2093,                0.78383,                 1.0454,                0.83812,                0.79322,                0.86721,                0.60124,                 1.0505,                0.57467,                0.98461,               0.007492,               0.007492,               0.007492
                     78,                 1.2206,                0.78876,                 1.0509,                 0.8331,                0.79732,                0.86679,                0.60114,                 1.0498,                0.57413,                0.98436,               0.007459,               0.007459,               0.007459
                     79,                 1.2127,                0.78384,                 1.0489,                0.84262,                0.79037,                0.86689,                0.60203,                 1.0494,                0.57367,                0.98422,               0.007426,               0.007426,               0.007426
                     80,                  1.212,                0.78571,                 1.0503,                0.84466,                0.78969,                0.86746,                 0.6026,                 1.0484,                0.57305,                0.98392,               0.007393,               0.007393,               0.007393
                     81,                  1.201,                0.77421,                 1.0433,                0.84485,                0.79069,                0.86738,                0.60243,                 1.0477,                0.57277,                0.98356,                0.00736,                0.00736,                0.00736
                     82,                 1.2033,                0.77827,                 1.0446,                0.84718,                0.78983,                0.86805,                0.60299,                 1.0461,                0.57224,                0.98303,               0.007327,               0.007327,               0.007327
                     83,                 1.2113,                 0.7852,                 1.0458,                0.84881,                0.78918,                0.86795,                0.60365,                 1.0454,                0.57193,                0.98283,               0.007294,               0.007294,               0.007294
                     84,                 1.2066,                0.77945,                 1.0443,                0.84971,                0.78782,                0.86869,                0.60376,                 1.0457,                0.57178,                0.98288,               0.007261,               0.007261,               0.007261
                     85,                 1.2026,                0.77921,                 1.0437,                0.84954,                0.78901,                0.86882,                0.60401,                 1.0458,                 0.5716,                0.98282,               0.007228,               0.007228,               0.007228
                     86,                 1.2106,                0.78075,                 1.0473,                0.84877,                0.78912,                0.86933,                0.60425,                 1.0454,                0.57155,                0.98266,               0.007195,               0.007195,               0.007195
                     87,                 1.2016,                0.77432,                 1.0448,                0.84849,                0.78962,                0.86931,                0.60457,                 1.0446,                0.57106,                0.98248,               0.007162,               0.007162,               0.007162
                     88,                  1.195,                0.77468,                 1.0432,                0.84631,                0.79155,                 0.8693,                0.60463,                 1.0444,                0.57081,                0.98242,               0.007129,               0.007129,               0.007129
                     89,                 1.1976,                 0.7743,                 1.0422,                0.84733,                0.79256,                0.86922,                0.60467,                 1.0437,                0.57027,                0.98213,               0.007096,               0.007096,               0.007096
                     90,                  1.203,                 0.7725,                 1.0432,                0.85416,                0.78712,                0.86971,                0.60493,                 1.0434,                0.57008,                0.98195,               0.007063,               0.007063,               0.007063
                     91,                 1.1903,                 0.7641,                 1.0419,                0.85307,                0.78875,                0.86954,                0.60504,                 1.0437,                0.57027,                0.98205,                0.00703,                0.00703,                0.00703
                     92,                 1.1944,                0.76848,                 1.0423,                0.85194,                0.79025,                0.86932,                0.60497,                  1.044,                0.57013,                0.98214,               0.006997,               0.006997,               0.006997
                     93,                 1.1975,                0.77209,                 1.0406,                0.85171,                0.79078,                0.86939,                0.60532,                  1.044,                0.56977,                0.98216,               0.006964,               0.006964,               0.006964
                     94,                  1.194,                0.76426,                  1.041,                0.85214,                0.79186,                0.86942,                0.60527,                 1.0441,                0.56952,                0.98219,               0.006931,               0.006931,               0.006931
                     95,                 1.1949,                0.76548,                 1.0386,                0.84997,                0.79335,                0.86965,                0.60541,                 1.0444,                0.56939,                0.98223,               0.006898,               0.006898,               0.006898
                     96,                 1.1897,                0.76183,                 1.0351,                0.85077,                0.79246,                0.86983,                0.60521,                 1.0453,                 0.5691,                0.98239,               0.006865,               0.006865,               0.006865
                     97,                 1.1919,                0.76364,                 1.0386,                0.84832,                0.79474,                0.86997,                0.60567,                 1.0455,                 0.5689,                0.98239,               0.006832,               0.006832,               0.006832
                     98,                  1.191,                0.76377,                 1.0409,                0.84548,                0.79645,                 0.8702,                0.60581,                 1.0456,                0.56865,                0.98235,               0.006799,               0.006799,               0.006799
                     99,                 1.1802,                0.75843,                 1.0366,                0.84463,                0.79651,                 0.8704,                 0.6056,                 1.0459,                0.56865,                0.98242,               0.006766,               0.006766,               0.006766
